Parameter,Object,Writable,Value,Value type
DeviceID.Manufacturer,false,false,"Huawei Technologies Co., Ltd.",xsd:string
DeviceID.OUI,false,false,202BC1,xsd:string
DeviceID.ProductClass,false,false,BM632w,xsd:string
DeviceID.SerialNumber,false,false,8KA8WA1151100043,xsd:string
InternetGatewayDevice,true,false,,
InternetGatewayDevice.DeviceInfo,true,false,,
InternetGatewayDevice.DeviceInfo.AdditionalSoftwareVersion,false,false,1.0.0,xsd:string
InternetGatewayDevice.DeviceInfo.Description,false,false,Huawei WiMAX Home Gateway,xsd:string
InternetGatewayDevice.DeviceInfo.DeviceLog,false,false,,xsd:string
InternetGatewayDevice.DeviceInfo.HardwareVersion,false,false,40501,xsd:string
InternetGatewayDevice.DeviceInfo.Manufacturer,false,false,"Huawei Technologies Co., Ltd.",xsd:string
InternetGatewayDevice.DeviceInfo.ManufacturerOUI,false,false,202BC1,xsd:string
InternetGatewayDevice.DeviceInfo.ModelName,false,false,BM632w,xsd:string
InternetGatewayDevice.DeviceInfo.ModemFirmwareVersion,false,false,,xsd:string
InternetGatewayDevice.DeviceInfo.ProductClass,false,false,BM632w,xsd:string
InternetGatewayDevice.DeviceInfo.ProvisioningCode,false,true,,xsd:string
InternetGatewayDevice.DeviceInfo.SerialNumber,false,false,0,xsd:string
InternetGatewayDevice.DeviceInfo.SoftwareVersion,false,false,V100R001IRQC56B017,xsd:string
InternetGatewayDevice.DeviceInfo.SpecVersion,false,false,1,xsd:string
InternetGatewayDevice.DeviceInfo.UpTime,false,false,213138,xsd:unsignedInt
InternetGatewayDevice.DeviceInfo.X_HUAWEI_PortalManagement,true,false,,
InternetGatewayDevice.DeviceInfo.X_HUAWEI_PortalManagement.Enable,false,true,false,xsd:boolean
InternetGatewayDevice.DeviceInfo.X_HUAWEI_PortalManagement.PortalUrl-Computer,false,true,,xsd:string
InternetGatewayDevice.DeviceInfo.X_HUAWEI_PortalManagement.PortalUrl-Phone,false,true,,xsd:string
InternetGatewayDevice.DeviceInfo.X_HUAWEI_PortalManagement.PortalUrl-STB,false,true,,xsd:string
InternetGatewayDevice.DeviceInfo.X_HUAWEI_ServiceManage,true,false,,
InternetGatewayDevice.DeviceInfo.X_HUAWEI_ServiceManage.TelnetEnable,false,true,true,xsd:boolean
InternetGatewayDevice.DeviceInfo.X_HUAWEI_ServiceManage.TelnetPort,false,true,23,xsd:int
InternetGatewayDevice.DeviceSummary,false,false,"InternetGatewayDevice:1.1[](Baseline:1, EthernetLAN:1, WiFiLAN:1, WIMAXWAN:1, Bridging:1, Time:1, IPPing:1",xsd:string
InternetGatewayDevice.IDLE,true,false,,
InternetGatewayDevice.IDLE.Enable,false,true,false,xsd:boolean
InternetGatewayDevice.IDLE.WaitTime,false,true,0,xsd:unsignedInt
InternetGatewayDevice.IPPingDiagnostics,true,false,,
InternetGatewayDevice.IPPingDiagnostics.AverageResponseTime,false,false,0,xsd:unsignedInt
InternetGatewayDevice.IPPingDiagnostics.DSCP,false,true,0,xsd:unsignedInt
InternetGatewayDevice.IPPingDiagnostics.DataBlockSize,false,true,0,xsd:unsignedInt
InternetGatewayDevice.IPPingDiagnostics.DiagnosticsState,false,true,None,xsd:string
InternetGatewayDevice.IPPingDiagnostics.FailureCount,false,false,0,xsd:unsignedInt
InternetGatewayDevice.IPPingDiagnostics.Host,false,true,,xsd:string
InternetGatewayDevice.IPPingDiagnostics.Interface,false,true,,xsd:string
InternetGatewayDevice.IPPingDiagnostics.MaximumResponseTime,false,false,0,xsd:unsignedInt
InternetGatewayDevice.IPPingDiagnostics.MinimumResponseTime,false,false,0,xsd:unsignedInt
InternetGatewayDevice.IPPingDiagnostics.NumberOfRepetitions,false,true,0,xsd:unsignedInt
InternetGatewayDevice.IPPingDiagnostics.SuccessCount,false,false,0,xsd:unsignedInt
InternetGatewayDevice.IPPingDiagnostics.Timeout,false,true,0,xsd:unsignedInt
